experience,education,location,industry,earnings
15,Master,Urban,Finance,145049
17,Master,Rural,Retail,104621
7,PhD,Urban,Finance,126790
6,HighSchool,Urban,Technology,96436
11,Bachelor,Urban,Retail,100258
24,PhD,Rural,Education,149393
1,Bachelor,Suburban,Finance,72342
13,HighSchool,Suburban,Healthcare,91423
18,PhD,Urban,Education,152375
11,PhD,Rural,Technology,124639
0,Bachelor,Rural,Retail,51993
6,Bachelor,Suburban,Finance,92355
20,Master,Suburban,Retail,122311
2,PhD,Urban,Education,104027
6,Bachelor,Rural,Retail,57351
9,Master,Urban,Healthcare,113075
9,Master,Suburban,Retail,97113
11,PhD,Rural,Finance,123478
19,Master,Suburban,Healthcare,130751
0,Bachelor,Suburban,Education,65807
21,Master,Rural,Technology,147359
15,HighSchool,Rural,Technology,102712
12,PhD,Suburban,Technology,136391
3,Bachelor,Rural,Technology,76481
18,Master,Rural,Retail,112615
11,PhD,Rural,Technology,134969
15,Master,Suburban,Healthcare,123259
6,HighSchool,Rural,Education,60852
16,HighSchool,Urban,Education,104317
22,Bachelor,Rural,Healthcare,127280
16,HighSchool,Urban,Technology,115721
1,HighSchool,Rural,Healthcare,40860
19,Bachelor,Rural,Retail,99474
1,PhD,Rural,Technology,91148
18,HighSchool,Urban,Education,105066
14,Bachelor,Urban,Finance,127737
10,Bachelor,Suburban,Finance,109637
10,HighSchool,Rural,Technology,85913
14,PhD,Urban,Technology,160866
1,Bachelor,Suburban,Retail,55567
17,Master,Urban,Finance,149630
1,PhD,Suburban,Education,80604
4,HighSchool,Rural,Finance,55220
4,Master,Rural,Retail,62060
4,PhD,Urban,Education,103088
17,Bachelor,Suburban,Technology,131653
10,HighSchool,Rural,Retail,57661
13,HighSchool,Urban,Finance,105239
2,Bachelor,Suburban,Finance,73609
16,PhD,Suburban,Technology,144997
17,HighSchool,Urban,Healthcare,114880
8,Master,Urban,Technology,118077
2,Master,Rural,Education,64132
16,HighSchool,Rural,Healthcare,88792
6,Bachelor,Suburban,Retail,73352
18,PhD,Rural,Technology,154846
18,Master,Suburban,Retail,126478
16,PhD,Rural,Finance,136909
24,PhD,Suburban,Retail,152236
24,HighSchool,Rural,Finance,115466
23,Bachelor,Suburban,Healthcare,136782
14,HighSchool,Rural,Finance,93358
15,Master,Urban,Technology,153332
3,PhD,Rural,Technology,98155
21,Bachelor,Rural,Retail,104815
13,PhD,Rural,Education,110960
10,Bachelor,Rural,Healthcare,83157
18,PhD,Urban,Retail,138778
7,HighSchool,Urban,Retail,65017
24,Bachelor,Suburban,Technology,152087
9,Master,Urban,Education,110765
3,PhD,Suburban,Retail,92059
3,HighSchool,Urban,Technology,75543
24,Bachelor,Suburban,Finance,142471
9,Bachelor,Rural,Technology,101940
1,Master,Rural,Retail,64923
8,Master,Urban,Technology,127145
23,PhD,Suburban,Technology,166563
1,Bachelor,Rural,Education,46226
19,Bachelor,Urban,Technology,149638
22,HighSchool,Suburban,Technology,133519
7,PhD,Suburban,Healthcare,109683
0,Master,Urban,Education,83861
19,PhD,Rural,Healthcare,140165
22,Bachelor,Rural,Technology,143378
21,Master,Rural,Education,123048
23,PhD,Urban,Finance,174377
6,Bachelor,Rural,Healthcare,78655
25,Bachelor,Rural,Technology,149772
8,PhD,Urban,Healthcare,122779
13,HighSchool,Rural,Technology,90649
11,Bachelor,Urban,Technology,124122
16,Bachelor,Suburban,Technology,123702
5,Bachelor,Rural,Healthcare,70948
4,HighSchool,Suburban,Education,50788
2,HighSchool,Urban,Retail,49613
23,Bachelor,Urban,Healthcare,148053
19,Bachelor,Urban,Technology,149094
14,Master,Suburban,Technology,137076
21,PhD,Rural,Retail,129384
4,PhD,Urban,Retail,100691
1,Bachelor,Rural,Finance,73548
19,Master,Rural,Retail,108208
23,PhD,Suburban,Technology,177895
14,Bachelor,Urban,Retail,110790
19,PhD,Urban,Healthcare,156698
15,Master,Suburban,Finance,138252
19,PhD,Urban,Technology,165031
16,Bachelor,Urban,Healthcare,130864
2,Bachelor,Urban,Education,76297
1,HighSchool,Urban,Healthcare,70448
15,HighSchool,Suburban,Education,87875
20,HighSchool,Suburban,Education,97339
21,Master,Suburban,Technology,154613
22,HighSchool,Rural,Finance,120048
19,Master,Suburban,Healthcare,136393
20,Bachelor,Suburban,Finance,131966
9,Bachelor,Urban,Healthcare,98419
5,Bachelor,Rural,Healthcare,65590
4,Master,Urban,Healthcare,107122
0,PhD,Suburban,Education,81537
20,Bachelor,Suburban,Technology,136444
13,Master,Suburban,Finance,125418
5,HighSchool,Urban,Retail,66195
12,PhD,Urban,Retail,121873
3,Master,Suburban,Technology,99316
7,Master,Rural,Finance,103671
6,PhD,Rural,Technology,119514
7,Bachelor,Urban,Technology,102229
1,Master,Rural,Retail,63152
1,HighSchool,Suburban,Education,39889
12,PhD,Urban,Healthcare,141260
20,Bachelor,Rural,Finance,124871
3,PhD,Rural,Retail,72300
15,Bachelor,Rural,Technology,112330
14,PhD,Urban,Technology,149196
18,Bachelor,Suburban,Retail,110358
12,PhD,Urban,Education,130503
11,PhD,Suburban,Retail,109300
5,PhD,Urban,Education,115235
12,PhD,Rural,Education,118443
5,Bachelor,Rural,Finance,79844
15,Master,Rural,Finance,129129
4,HighSchool,Rural,Healthcare,54451
14,PhD,Rural,Technology,129889
5,HighSchool,Suburban,Education,59869
0,Bachelor,Rural,Education,48281
19,Bachelor,Urban,Healthcare,135697
8,HighSchool,Urban,Education,75495
9,HighSchool,Rural,Healthcare,76933
